Episode 28: Loss 42.61, Reward -67, Avgloss 45.71, Avgreward -55.14, Epsilon 0.49, TotalStep 1330
Episode 0: Loss 0.06, Reward 0.03155827522277832, Avgloss 0.06, Avgreward 0.03, Epsilon 0.50, TotalStep 33
Episode 1: Loss 0.00, Reward 0.0013926029205322266, Avgloss 0.03, Avgreward 0.02, Epsilon 0.50, TotalStep 87
Episode 2: Loss 0.00, Reward 0.0008461475372314453, Avgloss 0.02, Avgreward 0.01, Epsilon 0.50, TotalStep 121
Episode 3: Loss 0.00, Reward 0.0040760040283203125, Avgloss 0.01, Avgreward 0.01, Epsilon 0.50, TotalStep 175
Episode 4: Loss 0.00, Reward 0.0009620189666748047, Avgloss 0.01, Avgreward 0.01, Epsilon 0.50, TotalStep 209
Episode 5: Loss 0.00, Reward -0.0019571781158447266, Avgloss 0.01, Avgreward 0.01, Epsilon 0.50, TotalStep 231
Episode 6: Loss 0.00, Reward -0.005441427230834961, Avgloss 0.01, Avgreward 0.00, Epsilon 0.50, TotalStep 280
Episode 7: Loss 0.00, Reward -0.005945444107055664, Avgloss 0.01, Avgreward 0.00, Epsilon 0.50, TotalStep 330
Episode 8: Loss 0.00, Reward 0.003024578094482422, Avgloss 0.01, Avgreward 0.00, Epsilon 0.50, TotalStep 381
Episode 0: Loss 0.05, Reward 0.03187823295593262, Avgloss 0.05, Avgreward 0.03, Epsilon 0.50, TotalStep 45
Episode 1: Loss 0.00, Reward 0.0005869865417480469, Avgloss 0.03, Avgreward 0.02, Epsilon 0.50, TotalStep 94
Episode 2: Loss 0.00, Reward 0.005770683288574219, Avgloss 0.02, Avgreward 0.01, Epsilon 0.50, TotalStep 124
Episode 3: Loss 0.00, Reward -0.005362272262573242, Avgloss 0.01, Avgreward 0.01, Epsilon 0.50, TotalStep 177
Episode 4: Loss 0.00, Reward -0.0013666152954101562, Avgloss 0.01, Avgreward 0.01, Epsilon 0.50, TotalStep 210
Episode 5: Loss 0.00, Reward -0.002124786376953125, Avgloss 0.01, Avgreward 0.00, Epsilon 0.50, TotalStep 265
Episode 0: Loss 0.23, Reward -0.06324195861816406, Avgloss 0.23, Avgreward -0.06, Epsilon 0.50, TotalStep 45
Episode 1: Loss 0.07, Reward -0.7685813903808594, Avgloss 0.15, Avgreward -0.42, Epsilon 0.50, TotalStep 80
Episode 2: Loss 0.18, Reward 0.21691679954528809, Avgloss 0.16, Avgreward -0.20, Epsilon 0.50, TotalStep 134
Episode 3: Loss 0.09, Reward -0.29849672317504883, Avgloss 0.14, Avgreward -0.23, Epsilon 0.50, TotalStep 182
Episode 4: Loss 0.04, Reward -0.15475940704345703, Avgloss 0.12, Avgreward -0.21, Epsilon 0.50, TotalStep 233
Episode 5: Loss 0.03, Reward -0.28311777114868164, Avgloss 0.10, Avgreward -0.23, Epsilon 0.50, TotalStep 281
Episode 6: Loss 0.02, Reward -0.25425148010253906, Avgloss 0.09, Avgreward -0.23, Epsilon 0.50, TotalStep 330
Episode 7: Loss 0.02, Reward -0.1789569854736328, Avgloss 0.08, Avgreward -0.22, Epsilon 0.50, TotalStep 381
Episode 8: Loss 0.03, Reward -0.26034975051879883, Avgloss 0.08, Avgreward -0.23, Epsilon 0.50, TotalStep 430
Episode 9: Loss 0.03, Reward -0.3034815788269043, Avgloss 0.07, Avgreward -0.23, Epsilon 0.50, TotalStep 478
Episode 10: Loss 0.04, Reward -0.24802684783935547, Avgloss 0.07, Avgreward -0.24, Epsilon 0.49, TotalStep 527
Episode 11: Loss 0.01, Reward -0.8753278255462646, Avgloss 0.07, Avgreward -0.29, Epsilon 0.49, TotalStep 564
Episode 12: Loss 0.03, Reward 0.11757707595825195, Avgloss 0.06, Avgreward -0.26, Epsilon 0.49, TotalStep 620
Episode 13: Loss 0.01, Reward -0.41442108154296875, Avgloss 0.06, Avgreward -0.27, Epsilon 0.49, TotalStep 668
Episode 14: Loss 0.04, Reward -0.20551085472106934, Avgloss 0.06, Avgreward -0.26, Epsilon 0.49, TotalStep 720
Episode 15: Loss 0.01, Reward -0.3926081657409668, Avgloss 0.05, Avgreward -0.27, Epsilon 0.49, TotalStep 769
Episode 16: Loss 0.02, Reward -0.29108762741088867, Avgloss 0.05, Avgreward -0.27, Epsilon 0.49, TotalStep 820
Episode 17: Loss 0.02, Reward -0.18305230140686035, Avgloss 0.05, Avgreward -0.27, Epsilon 0.49, TotalStep 873
Episode 18: Loss 0.03, Reward -1.1906259059906006, Avgloss 0.05, Avgreward -0.32, Epsilon 0.49, TotalStep 906
Episode 19: Loss 0.06, Reward -0.3676950931549072, Avgloss 0.05, Avgreward -0.32, Epsilon 0.49, TotalStep 955
Episode 20: Loss 0.04, Reward -0.2269120216369629, Avgloss 0.05, Avgreward -0.32, Epsilon 0.49, TotalStep 1006
Episode 0: Loss 20.60, Reward 3.4076929092407227, Avgloss 20.60, Avgreward 3.41, Epsilon 0.50, TotalStep 45
Episode 1: Loss 17.85, Reward -22.823238372802734, Avgloss 19.22, Avgreward -9.71, Epsilon 0.50, TotalStep 95
Episode 2: Loss 14.67, Reward -13.768601417541504, Avgloss 17.70, Avgreward -11.06, Epsilon 0.50, TotalStep 146
Episode 3: Loss 22.93, Reward -21.056532859802246, Avgloss 19.01, Avgreward -13.56, Epsilon 0.50, TotalStep 196
Episode 4: Loss 9.92, Reward -69.49033737182617, Avgloss 17.19, Avgreward -24.75, Epsilon 0.50, TotalStep 236
Episode 5: Loss 23.81, Reward -24.41532611846924, Avgloss 18.30, Avgreward -24.69, Epsilon 0.50, TotalStep 285
Episode 6: Loss 26.69, Reward 0.9216785430908203, Avgloss 19.49, Avgreward -21.03, Epsilon 0.50, TotalStep 339
Episode 7: Loss 20.50, Reward 0.25343894958496094, Avgloss 19.62, Avgreward -18.37, Epsilon 0.50, TotalStep 393
Episode 8: Loss 9.46, Reward -99.88203048706055, Avgloss 18.49, Avgreward -27.43, Epsilon 0.50, TotalStep 428
Episode 9: Loss 10.39, Reward -27.802181243896484, Avgloss 17.68, Avgreward -27.47, Epsilon 0.50, TotalStep 477
Episode 10: Loss 28.44, Reward -15.619564056396484, Avgloss 18.66, Avgreward -26.39, Epsilon 0.49, TotalStep 528
Episode 11: Loss 31.43, Reward -26.75020694732666, Avgloss 19.72, Avgreward -26.42, Epsilon 0.49, TotalStep 577
Episode 12: Loss 22.91, Reward -23.28653335571289, Avgloss 19.97, Avgreward -26.18, Epsilon 0.49, TotalStep 626
Episode 13: Loss 15.36, Reward -6.014370918273926, Avgloss 19.64, Avgreward -24.74, Epsilon 0.49, TotalStep 679
Episode 14: Loss 19.55, Reward -22.75516986846924, Avgloss 19.63, Avgreward -24.61, Epsilon 0.49, TotalStep 729
Episode 15: Loss 17.75, Reward 7.7666521072387695, Avgloss 19.52, Avgreward -22.58, Epsilon 0.49, TotalStep 784
Episode 16: Loss 16.02, Reward -6.845235824584961, Avgloss 19.31, Avgreward -21.66, Epsilon 0.49, TotalStep 838
Episode 17: Loss 20.50, Reward -10.967540740966797, Avgloss 19.38, Avgreward -21.06, Epsilon 0.49, TotalStep 891
Episode 18: Loss 18.18, Reward -16.0125732421875, Avgloss 19.31, Avgreward -20.80, Epsilon 0.49, TotalStep 943
Episode 19: Loss 7.48, Reward -30.907416343688965, Avgloss 18.72, Avgreward -21.30, Epsilon 0.49, TotalStep 993
Episode 20: Loss 21.90, Reward -100.6464958190918, Avgloss 18.87, Avgreward -25.08, Epsilon 0.49, TotalStep 1029
Episode 21: Loss 25.55, Reward 10.115337371826172, Avgloss 19.18, Avgreward -23.48, Epsilon 0.49, TotalStep 1086
Episode 22: Loss 17.99, Reward -112.18383312225342, Avgloss 19.12, Avgreward -27.34, Epsilon 0.49, TotalStep 1121
Episode 23: Loss 22.02, Reward -35.92972755432129, Avgloss 19.25, Avgreward -27.70, Epsilon 0.49, TotalStep 1171
Episode 24: Loss 11.88, Reward -131.07740879058838, Avgloss 18.95, Avgreward -31.83, Epsilon 0.49, TotalStep 1203
Episode 25: Loss 12.06, Reward -119.19946670532227, Avgloss 18.69, Avgreward -35.19, Epsilon 0.49, TotalStep 1237
Episode 26: Loss 27.23, Reward -42.84398555755615, Avgloss 19.00, Avgreward -35.47, Epsilon 0.49, TotalStep 1285
Episode 27: Loss 29.94, Reward -23.15235137939453, Avgloss 19.39, Avgreward -35.03, Epsilon 0.49, TotalStep 1337
Episode 28: Loss 21.89, Reward -40.700340270996094, Avgloss 19.48, Avgreward -35.23, Epsilon 0.49, TotalStep 1386
Episode 29: Loss 17.78, Reward -120.98643779754639, Avgloss 19.42, Avgreward -38.09, Epsilon 0.49, TotalStep 1420
Episode 30: Loss 24.90, Reward -94.51920986175537, Avgloss 19.60, Avgreward -39.91, Epsilon 0.49, TotalStep 1459
Episode 31: Loss 29.42, Reward -128.64477634429932, Avgloss 19.91, Avgreward -42.68, Epsilon 0.49, TotalStep 1491
Episode 32: Loss 34.73, Reward -97.78115749359131, Avgloss 20.36, Avgreward -44.35, Epsilon 0.49, TotalStep 1529
Episode 33: Loss 25.18, Reward -135.96785068511963, Avgloss 20.50, Avgreward -47.05, Epsilon 0.48, TotalStep 1560
Episode 34: Loss 15.56, Reward -93.7009334564209, Avgloss 20.36, Avgreward -48.38, Epsilon 0.48, TotalStep 1599
Episode 35: Loss 26.87, Reward -43.286776542663574, Avgloss 20.54, Avgreward -48.24, Epsilon 0.48, TotalStep 1648
Episode 36: Loss 14.48, Reward -157.64033794403076, Avgloss 20.37, Avgreward -51.19, Epsilon 0.48, TotalStep 1674
Episode 37: Loss 34.54, Reward -110.22233963012695, Avgloss 20.75, Avgreward -52.75, Epsilon 0.48, TotalStep 1710
Episode 38: Loss 19.89, Reward -116.11990928649902, Avgloss 20.72, Avgreward -54.37, Epsilon 0.48, TotalStep 1745
Episode 39: Loss 41.32, Reward -36.295104026794434, Avgloss 21.24, Avgreward -53.92, Epsilon 0.48, TotalStep 1795
Episode 40: Loss 41.46, Reward -40.81070423126221, Avgloss 21.73, Avgreward -53.60, Epsilon 0.48, TotalStep 1843
Episode 41: Loss 40.91, Reward -40.43853282928467, Avgloss 22.19, Avgreward -53.29, Epsilon 0.48, TotalStep 1892
Episode 42: Loss 27.16, Reward -40.9393310546875, Avgloss 22.30, Avgreward -53.00, Epsilon 0.48, TotalStep 1941
Episode 43: Loss 43.64, Reward -40.77174663543701, Avgloss 22.79, Avgreward -52.72, Epsilon 0.48, TotalStep 1990
Episode 44: Loss 38.60, Reward -17.31274127960205, Avgloss 23.14, Avgreward -51.94, Epsilon 0.48, TotalStep 2043
Episode 45: Loss 38.88, Reward -42.6924467086792, Avgloss 23.48, Avgreward -51.73, Epsilon 0.48, TotalStep 2092
Episode 46: Loss 17.13, Reward -181.6175937652588, Avgloss 23.35, Avgreward -54.50, Epsilon 0.48, TotalStep 2114
Episode 47: Loss 39.80, Reward -28.62701416015625, Avgloss 23.69, Avgreward -53.96, Epsilon 0.48, TotalStep 2165
Episode 48: Loss 53.72, Reward -38.32361698150635, Avgloss 24.30, Avgreward -53.64, Epsilon 0.48, TotalStep 2214
Episode 49: Loss 42.99, Reward -95.27900218963623, Avgloss 24.68, Avgreward -54.47, Epsilon 0.48, TotalStep 2253
Episode 50: Loss 40.93, Reward -40.27285575866699, Avgloss 25.00, Avgreward -54.19, Epsilon 0.48, TotalStep 2302
Episode 51: Loss 39.73, Reward -40.34218788146973, Avgloss 25.28, Avgreward -53.93, Epsilon 0.48, TotalStep 2351
Episode 52: Loss 40.33, Reward -32.2415828704834, Avgloss 25.56, Avgreward -53.52, Epsilon 0.48, TotalStep 2402
Episode 53: Loss 19.20, Reward -95.85366249084473, Avgloss 25.45, Avgreward -54.30, Epsilon 0.48, TotalStep 2441
Episode 54: Loss 32.71, Reward -107.79106616973877, Avgloss 25.58, Avgreward -55.28, Epsilon 0.48, TotalStep 2477
Episode 55: Loss 40.96, Reward -110.83412170410156, Avgloss 25.85, Avgreward -56.27, Epsilon 0.48, TotalStep 2513
Episode 56: Loss 31.79, Reward -108.49967002868652, Avgloss 25.96, Avgreward -57.18, Epsilon 0.48, TotalStep 2550
Episode 57: Loss 17.33, Reward -177.48823165893555, Avgloss 25.81, Avgreward -59.26, Epsilon 0.48, TotalStep 2573
Episode 58: Loss 39.27, Reward -110.62130928039551, Avgloss 26.04, Avgreward -60.13, Epsilon 0.48, TotalStep 2609
Episode 59: Loss 37.72, Reward -46.07207775115967, Avgloss 26.23, Avgreward -59.89, Epsilon 0.47, TotalStep 2657
Episode 60: Loss 41.00, Reward -41.45936965942383, Avgloss 26.47, Avgreward -59.59, Epsilon 0.47, TotalStep 2706
Episode 61: Loss 27.02, Reward -168.9453125, Avgloss 26.48, Avgreward -61.36, Epsilon 0.47, TotalStep 2730
Episode 62: Loss 42.79, Reward -25.0563383102417, Avgloss 26.74, Avgreward -60.78, Epsilon 0.47, TotalStep 2782
